Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
,,,Acyclovir,,Drug,N/A,,,
,,,Adrenaline,,Drug,N/A,,,
,,,Fexofenadine,,Drug,N/A,,,
,,,Amitriptyline,,Drug,N/A,,,
,,,Amoxycillin,,Drug,N/A,,,
,,,Cetrizine,,Drug,N/A,,,
,,,Ampicillin,,Drug,N/A,,,
,,,Atorvastatin,,Drug,N/A,,,
,,,Salbutamol,,Drug,N/A,,,
,,,Vitamin,,Drug,N/A,,,
,,,Azithromycin,,Drug,N/A,,,
,,,Beclomethasone,,Drug,N/A,,,
,,,Paracetamol,,Drug,N/A,,,
,,,Calamine,,Drug,N/A,,,
,,,Calcium,,Drug,N/A,,,
,,,Ciprofloxacin,,Drug,N/A,,,
,,,Ceftriaxone,,Drug,N/A,,,
,,,Cinnarizine,,Drug,N/A,,,
,,,Ciprofloxacine,,Drug,N/A,,,
,,,Haloperidol,,Drug,N/A,,,
,,,Clopidogrel,,Drug,N/A,,,
,,,Tinidazole,,Drug,N/A,,,
,,,Distilled,,Drug,N/A,,,
,,,Dextrose,,Drug,N/A,,,
,,,Normal,,Drug,N/A,,,
,,,Fluconazole,,Drug,N/A,,,
,,,Doxofylline,,Drug,N/A,,,
,,,Diclofenac,,Drug,N/A,,,
,,,Etoricoxib,,Drug,N/A,,,
,,,Aspirin,,Drug,N/A,,,
,,,Ondansetrone,,Drug,N/A,,,
,,,Phenytoin,,Drug,N/A,,,
,,,Escitalopram,,Drug,N/A,,,
,,,Femotidine,,Drug,N/A,,,
,,,Febuxostat,,Drug,N/A,,,
,,,Norethisterone,,Drug,N/A,,,
,,,Finasteride,,Drug,N/A,,,
,,,Flavoxate,,Drug,N/A,,,
,,,Flucloxacillin,,Drug,N/A,,,
,,,Fluticasone,,Drug,N/A,,,
,,,Folic,,Drug,N/A,,,
,,,Gentamycin,,Drug,N/A,,,
,,,Glimipride,,Drug,N/A,,,
,,,Glucose,,Drug,N/A,,,
,,,Halobetasole,,Drug,N/A,,,
,,,Hepatitis,,Drug,N/A,,,
,,,Pheniramine,,Drug,N/A,,,
,,,Hyoscine,,Drug,N/A,,,
,,,Hydrochlorthiazide,,Drug,N/A,,,
,,,Indomethacin,,Drug,N/A,,,
,,,Chymotrypsin,,Drug,N/A,,,
,,,Propranolol,,Drug,N/A,,,
,,,Cefpodoxime,,Drug,N/A,,,
,,,Itraconazole,,Drug,N/A,,,
,,,Ivermectin,,Drug,N/A,,,
