Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
,,ACYCLOVIR 400MG TAB,Acyclovir,Tablet,,
,,ACYCLOVIR 800MG TAB,Acyclovir,Tablet,,
,,ADRENALINE 1ML INJ,Adrenaline,Tablet,,
,,FEXOFENADINE 120MG TAB,Fexofenadine,Tablet,,
,,FEXOFENADINE 180MG TAB,Fexofenadine,Tablet,,
,,AMITRIPTYLINE 10MG TAB,Amitriptyline,Capsule,,
,,AMOXYCILLIN 500MG CAP,Amoxycillin,Capsule,,
,,AMOXYCILLIN 125MG/5ML+ CLAVULANIC ACID SUSPENSION,Amoxycillin,Suspension,,
,,AMOXYCILLIN 250MG D.TAB,Amoxycillin,Tablet,,
,,CETRIZINE 10MG TAB,Cetrizine,Tablet,,
,,AMPICILLIN INJ 500MG,Ampicillin,Tablet,,
,,ATORVASTATIN 10MG TAB,Atorvastatin,Tablet,,
,,SALBUTAMOL R/C (200mcg each cap.),Salbutamol,Capsule,,
,,VITAMIN-C 500MG TAB,Vitamin,Tablet,,
,,AZITHROMYCIN 500MG TAB,Azithromycin,Tablet,,
,,HYOSCINE BUTYL BROMIDE 20MG TAB,Hyoscine,Tablet,,
,,BECLOMETHASONE AND NEOMYCIN CREAM,Beclomethasone,Cream,,
,,PARACETAMOL AND IBUPROFEN 225MG/5ML SYP,Paracetamol,Syrup,,
,,PARACETAMOL 125MG/5ML SYP,Paracetamol,Syrup,,
,,PARACETAMOL AND IBUPROFEN 900MG TAB,Paracetamol,Tablet,,
,,CALAMINE LOTION 100ML SUS,Calamine,Suspension,,
,,CALCIUM GLUCONATE (10%w/v ) INJ.,Calcium,Injection,,
,,CIPROFLOXACIN 500MG TAB,Ciprofloxacin,Tablet,,
,,CEFTRIAXONE 1G INJ,Ceftriaxone,Injection,,
,,CINNARIZINE 25MG TAB,Cinnarizine,Tablet,,
,,CIPROFLOXACINE 200MG/100ML INFUSION,Ciprofloxacine,Injection,,
,,HALOPERIDOL 0.25MG TAB,Haloperidol,Tablet,,
,,CLOPIDOGREL 75MG TAB,Clopidogrel,Tablet,,
,,TINIDAZOLE 500MG TAB,Tinidazole,Tablet,,
,,DISTILLED WATER 5ml,Distilled,Solution,,
,,DEXTROSE 5% INFUSION 500ML,Dextrose,Infusion,,
,,NORMAL SALINE (NaCl 0.65% ) N/D,Normal,Infusion,,
,,FLUCONAZOLE 150MG CAP,Fluconazole,Capsule,,
,,DOXOFYLLINE 400MG TAB,Doxofylline,Tablet,,
,,DICLOFENAC INJ 75MG,Diclofenac,Injection,,
,,ETORICOXIB 90MG TAB,Etoricoxib,Tablet,,
,,ASPIRIN 75MG TAB,Aspirin,Tablet,,
,,ONDANSETRONE 2MG/5ML SYP,Ondansetrone,Syrup,,
,,ONDANSETRONE 4MG TAB,Ondansetrone,Tablet,,
,,PHENYTOIN 50MG INJ,Phenytoin,Injection,,
,,ESCITALOPRAM 10MG TAB,Escitalopram,Tablet,,
,,FEMOTIDINE 20MG TAB,Femotidine,Tablet,,
,,FEBUXOSTAT 40MG TAB,Febuxostat,Tablet,,
,,NORETHISTERONE 5MG TAB (femitrone),Norethisterone,Tablet,,
,,FINASTERIDE 5MG TAB,Finasteride,Tablet,,
,,FLAVOXATE 200MG TAB,Flavoxate,Tablet,,
,,FLUCLOXACILLIN 500MG CAP,Flucloxacillin,Capsule,,
,,FLUCLOXACILLIN 500MG INJ,Flucloxacillin,Injection,,
,,FLUTICASONE 0.05% NASAL SPRAY,Fluticasone,Spray,,
,,FOLIC ACID 5MG TAB,Folic,Tablet,,
,,GENTAMYCIN 40MG/ML INJ,Gentamycin,Injection,,
,,GLIMIPRIDE 1MG TAB,Glimipride,Tablet,,
,,GLIMIPRIDE 2MG TAB,Glimipride,Tablet,,
,,GLUCOSE-D-100GRAM,Glucose,Powder,,
,,HALOBETASOLE 0.05% CREAM,Halobetasole,Cream,,
,,HEPATITIS B VACCINE 1ml,Hepatitis,Injection,,
,,PHENIRAMINE 22.75mg/ml INJ,Pheniramine,Injection,,
,,HYOSCINE BUTYL BROMIDE 20MG/ML INJ,Hyoscine,Injection,,
,,HYDROCHLORTHIAZIDE 12.5MG TAB,Hydrochlorthiazide,Tablet,,
,,INDOMETHACIN 50MG CAP,Indomethacin,Capsule,,
,,CHYMOTRYPSIN 1LAKH UNIT TAB,Chymotrypsin,Tablet,,
,,PROPRANOLOL 10MG TAB,Propranolol,Tablet,,
,,ACYCLOVIR 5% CREAM,Acyclovir,Cream,,
,,CEFPODOXIME 50MG/5ML SYP,Cefpodoxime,Syrup,,
,,ITRACONAZOLE 100MG CAP,Itraconazole,Capsule,,
,,IVERMECTIN 6MG TAB,Ivermectin,Tablet,,
